OID;OBJECTID;IDDATACION;CODIGOMUES;UNIDADGEOL;LITOLOGIA;EDADAÑOSB;ERRORAÑOS;EDADMA;ERRORMA;EDADGRASIM;EDADGRAS_1;EDADESTRAT;EDADESHERE;METODODATA;MATERIALAN;RELACIONIN;MSWD;PX2;DISPERSION;NUMEROGRAN;NUMEROALIC;FUENTEGEOR;COORDENADA;COORDENA_1;SISTEMACOO;LATITUD;LONGITUD;REFERENCIA;CITAREFERE;IDREFERENC;COMENTARIO;URL
0;1;4;13;Formación Colorado;Arenita; ; ;0;± 53,7; ; ;Holoceno (Q2); ;Huellas de fisión LA–ICP–MS;Apatito; ; ; ; ;1; ; ;1200685;1023742;MAGNA_Colombia_Bogota;"6° 24' 39,301"" N";"73° 51' 46,433"" W";Sánchez, J., Horton, B.K., Tesón, E., Mora, A., Ketcham, R.A. & Stockli, D.F. 2012. Kinematic evolution of Andean fold–thrust structures along the boundary between the Eastern Cordillera and Middle Magdalena Valley basin, Colombia. Tectonics, 31(3):;Sánchez et al. (2012);261;Edad pooled;http://onlinelibrary.wiley.com/doi/10.1029/2011TC003089/abstract
1;2;82;FS-71;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1221109;1141452;MAGNA_Colombia_Oeste;"6° 35' 38,437"" N";"75° 47' 54,678"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Sección Sucre: muestra colectada a 1275 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
2;3;98;LC-13;Terraza aluvial; ; ;± 15; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219981;1141285;MAGNA_Colombia_Oeste;"6° 35' 01,740"" N";"75° 48' 00,207"" W";Vélez, M.I., Martínez, J.I. & Suter, F.D. 2013. Late Holocene history of the floodplain lakes of the Cauca River, Colombia. Journal of Paleolimnology, 49(4): 591-604.;Velez et al. (2013);322;Sección La Caimana: muestra colectada a 435 cm sobre la base de la sección.;http://dx.doi.org/10.1007/s10933-012-9663-9
3;4;103;FS-75;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1221109;1141452;MAGNA_Colombia_Oeste;"6° 35' 38,437"" N";"75° 47' 54,678"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Sección Sucre: muestra colectada a 1865 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
4;5;109;SN-33;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 1321 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
5;6;111;SN-51;Terraza aluvial; ; ;± 20; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 2123 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
6;7;112;SN-22;Terraza aluvial; ; ;± 20; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 852 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
7;8;114;FS-68;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1221109;1141452;MAGNA_Colombia_Oeste;"6° 35' 38,437"" N";"75° 47' 54,678"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Sección Sucre: muestra colectada a 870 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
8;9;115;FS-60;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1221109;1141452;MAGNA_Colombia_Oeste;"6° 35' 38,437"" N";"75° 47' 54,678"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Sección Sucre: muestra colectada a 250 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
9;10;124;FS-66;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1221109;1141452;MAGNA_Colombia_Oeste;"6° 35' 38,437"" N";"75° 47' 54,678"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Sección Sucre: muestra colectada a 810 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
